Symbol,Composite Score
TSLA,0.09561733138609022
NVDA,0.09407465333040964
MSFT,0.03610594512160047
META,0.03326270379206003
AAPL,0.022063476516683223
JNJ,0.006070206006218069
V,-0.0022441258725895163
BRK-B,-0.008464769832975635
AMZN,-0.16972094075982957
GOOGL,-0.20808785093337562
